trial_index,arm_name,trial_status,generation_node,throughput(token/s),energy(J/token),block_size,max_num_seqs,max_num_batched_tokens,tensor_parallel_size,pipeline_parallel_size,enable_chunked_prefill,enable_prefix_caching,dtype,data_parallel_size
0,0_0,COMPLETED,GenerationStep_0,537.4436209987487,1.3994734297550697,32,128,12288,2,2,False,False,auto,1
1,1_0,COMPLETED,GenerationStep_0,285.47460453742605,1.0375092004804451,128,128,8192,1,1,True,True,auto,1
2,2_0,COMPLETED,GenerationStep_0,712.7618742861422,1.7911043862372444,64,64,8192,4,1,True,False,bfloat16,1
3,3_0,COMPLETED,GenerationStep_0,448.9782295866829,1.5626625271379042,32,256,4096,1,4,False,True,bfloat16,1
4,4_0,COMPLETED,GenerationStep_0,0.0,1000000000.0,32,64,8192,2,4,False,False,float16,1
5,5_0,COMPLETED,GenerationStep_0,775.2218435430963,1.6994326661127406,64,256,12288,4,1,True,True,float16,1
6,6_0,COMPLETED,GenerationStep_0,309.7690580982845,1.4929433666837844,128,128,4096,1,2,True,False,auto,1
7,7_0,COMPLETED,GenerationStep_0,0.0,1000000000.0,64,256,8192,4,2,False,True,bfloat16,1
8,8_0,COMPLETED,GenerationStep_0,663.7849985772888,1.7627033606359082,64,64,4096,4,1,False,False,float16,1
9,9_0,COMPLETED,GenerationStep_0,0.0,1000000000.0,128,256,12288,2,4,True,True,bfloat16,1
10,10_0,COMPLETED,GenerationStep_0,0.0,1000000000.0,64,128,8192,2,4,True,False,bfloat16,1
11,11_0,COMPLETED,GenerationStep_0,290.2328312450538,0.9660646407939116,32,128,12288,1,1,False,True,auto,1
12,12_0,COMPLETED,GenerationStep_0,270.649705889382,1.1200564775634552,32,64,8192,1,1,False,False,bfloat16,1
13,13_0,COMPLETED,GenerationStep_0,0.0,1000000000.0,128,256,4096,2,4,True,True,auto,1
14,14_0,COMPLETED,GenerationStep_0,496.9093041298408,1.6753610217240544,128,64,12288,2,2,True,False,float16,1
15,15_0,COMPLETED,GenerationStep_0,0.0,1000000000.0,64,256,4096,4,2,False,True,bfloat16,1
16,16_0,COMPLETED,GenerationStep_1,468.1674650494273,1.2713070702248308,32,256,12288,2,1,True,True,auto,1
17,17_0,COMPLETED,GenerationStep_1,763.7481237276388,1.3573888586478118,32,256,4096,4,1,False,True,auto,1
18,18_0,COMPLETED,GenerationStep_1,0.0,1000000000.0,128,256,12288,4,4,True,False,auto,1
19,19_0,COMPLETED,GenerationStep_1,837.8413096409652,1.2780921478554845,128,256,12288,4,1,True,False,auto,1
20,20_0,COMPLETED,GenerationStep_1,533.4562514581886,1.7409269044503937,32,256,12288,2,2,True,True,auto,1
21,21_0,COMPLETED,GenerationStep_1,838.3474256860829,1.3233799567071969,64,256,12288,4,1,True,False,auto,1
22,22_0,COMPLETED,GenerationStep_1,540.4972722492291,1.4940586337718262,32,256,4096,2,2,False,False,auto,1
23,23_0,COMPLETED,GenerationStep_1,760.1382775346545,1.396463730016893,32,256,4096,4,1,True,False,auto,1
24,24_0,COMPLETED,GenerationStep_1,854.9023521985365,1.2509439027482983,32,256,12288,4,1,True,True,auto,1
25,24_0,COMPLETED,GenerationStep_1,833.0372132700611,1.41372553948967,32,256,12288,4,1,True,True,auto,1
26,24_0,COMPLETED,GenerationStep_1,837.3186186483674,1.3035627975615347,32,256,12288,4,1,True,True,auto,1
27,27_0,COMPLETED,GenerationStep_1,837.6926923723252,1.2715722576722202,32,256,12288,4,1,False,True,auto,1
28,28_0,COMPLETED,GenerationStep_1,837.1326918939316,1.2702943370610282,64,256,12288,4,1,True,True,auto,1
29,29_0,COMPLETED,GenerationStep_1,805.3473876725733,1.3379951511192942,128,64,12288,4,1,False,True,auto,1
30,30_0,COMPLETED,GenerationStep_1,839.0641997437734,1.45359838068475,128,256,12288,4,1,False,True,auto,1
31,31_0,COMPLETED,GenerationStep_1,783.7713475693944,1.4129532420881987,128,64,12288,4,1,True,True,auto,1
32,32_0,COMPLETED,GenerationStep_1,800.5308407599675,1.3203960889290747,32,64,12288,4,1,False,True,auto,1
33,33_0,COMPLETED,GenerationStep_1,468.7562514444553,1.312788343042819,32,128,12288,2,1,False,True,auto,1
34,34_0,COMPLETED,GenerationStep_1,310.52059498767926,1.4461913817958023,32,128,12288,1,2,False,True,auto,1
35,35_0,COMPLETED,GenerationStep_1,834.807378184691,1.3104947672654945,128,256,12288,4,1,True,True,auto,1
36,36_0,COMPLETED,GenerationStep_1,506.491451024732,1.2548753542302955,128,64,12288,2,1,False,False,auto,1
37,37_0,COMPLETED,GenerationStep_1,468.9116059018464,1.3854761643214741,128,256,12288,2,1,True,False,auto,1
38,38_0,COMPLETED,GenerationStep_1,807.6525237539004,1.339940841031294,128,64,12288,4,1,False,False,auto,1
39,39_0,COMPLETED,GenerationStep_1,270.1304140678978,1.0494460301062363,32,64,12288,1,1,True,True,auto,1
